datetime,temperature,wind_speed,rain,precipitation
2025-02-05 00:00:00,-4.4,16.7,0.0,0.0
2025-02-05 01:00:00,-4.1,17.4,0.0,0.0
2025-02-05 02:00:00,-3.9,17.9,0.0,0.0
2025-02-05 03:00:00,-3.6,18.4,0.0,0.0
2025-02-05 04:00:00,-3.4,18.1,0.0,0.0
2025-02-05 05:00:00,-3.2,17.1,0.0,0.0
2025-02-05 06:00:00,-3.2,15.9,0.0,0.0
2025-02-05 07:00:00,-3.2,16.9,0.0,0.0
2025-02-05 08:00:00,-3.3,16.4,0.0,0.0
2025-02-05 09:00:00,-3.4,16.1,0.0,0.0
2025-02-05 10:00:00,-3.5,15.8,0.0,0.0
2025-02-05 11:00:00,-3.6,15.3,0.0,0.0
2025-02-05 12:00:00,-3.7,14.4,0.0,0.0
2025-02-05 13:00:00,-3.6,13.9,0.0,0.0
2025-02-05 14:00:00,-3.3,15.3,0.0,0.0
2025-02-05 15:00:00,-3.1,15.8,0.0,0.0
2025-02-05 16:00:00,-2.6,15.5,0.0,0.0
2025-02-05 17:00:00,-2.4,13.8,0.0,0.0
2025-02-05 18:00:00,-2.2,12.1,0.0,0.0
2025-02-05 19:00:00,-1.6,14.1,0.0,0.0
2025-02-05 20:00:00,-1.3,14.4,0.0,0.0
2025-02-05 21:00:00,-1.2,14.4,0.0,0.0
2025-02-05 22:00:00,-0.7,14.2,0.0,0.0
2025-02-05 23:00:00,-0.3,14.4,0.0,0.0
