datetime,temperature,wind_speed,rain,precipitation
2025-02-06 00:00:00,-0.2,14.6,0.0,0.0
2025-02-06 01:00:00,-0.9,17.3,0.1,0.1
2025-02-06 02:00:00,-1.0,16.0,0.3,0.5
2025-02-06 03:00:00,-1.1,13.2,0.1,0.1
2025-02-06 04:00:00,-1.1,11.6,0.2,0.2
2025-02-06 05:00:00,-1.1,9.8,0.4,0.4
2025-02-06 06:00:00,-1.0,8.6,0.2,0.2
2025-02-06 07:00:00,-0.9,6.0,0.1,0.1
2025-02-06 08:00:00,-0.8,3.7,0.1,0.1
2025-02-06 09:00:00,-0.8,6.1,0.0,0.1
2025-02-06 10:00:00,-0.6,9.7,0.0,0.2
2025-02-06 11:00:00,-0.4,12.3,0.0,0.0
2025-02-06 12:00:00,-0.4,14.2,0.0,0.0
2025-02-06 13:00:00,-1.2,14.4,0.0,0.0
2025-02-06 14:00:00,-0.7,13.5,0.0,0.0
2025-02-06 15:00:00,-0.0,19.1,0.0,0.0
2025-02-06 16:00:00,0.3,23.2,0.0,0.0
2025-02-06 17:00:00,0.8,23.4,0.0,0.0
2025-02-06 18:00:00,1.9,24.1,0.0,0.0
2025-02-06 19:00:00,2.2,18.3,0.0,0.0
2025-02-06 20:00:00,2.2,17.4,0.0,0.0
2025-02-06 21:00:00,2.7,17.7,0.0,0.0
2025-02-06 22:00:00,2.6,19.1,0.0,0.0
2025-02-06 23:00:00,2.3,22.0,0.0,0.0
