datetime,temperature,wind_speed,rain,precipitation
2025-02-07 00:00:00,2.2,24.1,0.0,0.0
2025-02-07 01:00:00,1.4,26.7,0.0,0.0
2025-02-07 02:00:00,0.9,26.1,0.0,0.0
2025-02-07 03:00:00,0.4,24.4,0.0,0.0
2025-02-07 04:00:00,-0.4,21.6,0.0,0.0
2025-02-07 05:00:00,-1.7,21.3,0.0,0.0
2025-02-07 06:00:00,-3.2,20.0,0.0,0.0
2025-02-07 07:00:00,-4.4,16.9,0.0,0.0
2025-02-07 08:00:00,-5.3,15.4,0.0,0.0
2025-02-07 09:00:00,-6.5,16.9,0.0,0.0
2025-02-07 10:00:00,-7.3,14.2,0.0,0.0
2025-02-07 11:00:00,-7.7,12.5,0.0,0.0
2025-02-07 12:00:00,-7.7,10.5,0.0,0.0
2025-02-07 13:00:00,-7.1,9.2,0.0,0.0
2025-02-07 14:00:00,-6.8,8.0,0.0,0.0
2025-02-07 15:00:00,-6.1,5.8,0.0,0.0
2025-02-07 16:00:00,-5.1,4.2,0.0,0.0
2025-02-07 17:00:00,-3.7,3.8,0.0,0.0
2025-02-07 18:00:00,-2.5,4.1,0.0,0.0
2025-02-07 19:00:00,-1.5,3.6,0.0,0.0
2025-02-07 20:00:00,-0.9,3.5,0.0,0.0
2025-02-07 21:00:00,-0.7,4.3,0.0,0.0
2025-02-07 22:00:00,-1.0,5.9,0.0,0.0
2025-02-07 23:00:00,-1.8,6.0,0.0,0.0
